Source,Target
Thrush (Throstle),Male
Lark,Female
Ousel-cock,Male
Cuckoo,Male
Cuckoo,Male
Cuckoo,Male
Cuckoo,Female
Cuckoo,Male
Lapwing,Female
Lapwing,Female
Lapwing,Male
Finch,Male
Swallow,Female
Swallow,Male
Swallow,Male
Swallow,Male
Martlet,Male
Hedge Sparrow,Male
Sparrow,Supernatural
Sparrow,Supernatural
Sparrow,Male
Sparrow,Male
Sparrow,Male
Sparrow,Male
Sparrow,Male
Sparrow,Male
Wren,Male
Wren,Male
Wren,Female
Wren,Female
Swan,Female
Swan,Female
Swan,Male
Swan,Female
Swan,Male
Swan,Female
Swan,Male
Osprey,Male
Handsaw (Heron),Male
Pelican,Male
Gull,Male
Scamel (Sea-mell),Male
Mallard,Male
Wild-fowl,Male
Wild-fowl,Male
Wild Goose,Supernatural
Wild Goose,Male
Goose,Male
Goose,Male
Goose,Male
Goose,Male
Goose,Male
Goose,Male
Goose,Male
Goose,Male
Goose,Male
Goose,Male
Gosling,Male
Duck,Male
Duck,Male
Duck,Male
Duck,Male
Turkey,Male
Cock,Male (spirit)
Cock,Male
Cock,Male
Cock,Male
Cock,Female
Cock,Female
Cock,Male
Cock,Male
Cock,Male
Hen,Female
Chicken,Male
Chicken,Male
Chicken,Female
Chicken,Group
Chicken,Male
Chicken,Male
Chicken,Male
Fowl,Male
Fowl,Male
Fowl,Male
Fowl,Male
Fowl,Female
Fowl,Male
Fowl,Male
Horse,Male
Horse,Male
Horse,Male
Horse,Female
Horse,Male
Horse,Male
Horse,Female
Horse,Male
Horse,Male
Horse,Male
Horse,Male
Horse,Male
Horse,Male
Horse,Male
Horse,Male
Horse,Male
Horse,Male
Dog,Supernatural
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Female
Dog,Male
Dog,Female
Dog,Male
Dog,Male
Dog,Male
Dog,Female
Dog,Female
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Male
Dog,Female
Dog,Male
Dog,Male
Dog,Male
Ass,Female
Ass,Male
Ass,Female
Ass,Male
Ass,Male
Ass,Female
Ass,Male
Ass,Male
Ass,Male
Ass,Male
Ass,Male
Ass,Male
Mule,Male
Mule,Male
Mule,Male
Mule,Male
Bull,Male
Bull,Male
Bull,Male
Bull,Male
Bull,Male
Ox,Male
Ox,Male
Ox,Male
Cow,Female
Cow,Male
Cow,Male
Heifer,Male
Calf,Male
Calf,Male
Ram,Male
Sheep,Supernatural
Sheep,Male
Sheep,Male
Sheep,Male
Sheep,Male
Sheep,Male
Sheep,Male
Sheep,Male
Sheep,Male
Sheep,Male
Sheep,Male
Lamb,Female
Lamb,Male
Lamb,Male
Lamb,Male
Goat,Male
Goat,Male
Goat,Male
Goat,Male
Goat,Male
Pig,Male
Pig,Male
Pig,Male
Pig,Male
Hog,Male
Hog,Male
Boar,Male
Stag,Male
Stag,Male
Stag,Male
Stag,Female
Hind,Male
Deer,Female
Deer,Male
Deer,Male
Deer,Male
Deer,Male
Deer,Male
Deer,Male
Buck,Male
Doe,Male
Fawn,Male
Hart,Male
Roe,Female
Roe,Male
Fox,Male
Fox,Male
Fox,Male
Fox,Male
Fox,Male
Fox,Male
Fox,Female
Fox,Male
Fox,Male
Fox,Male
Hare,Female
Hare,Male
Hare,Male
Rabbit,Male
Rabbit,Male
Coney,Male
Coney,Female
Coney,Male
Squirrel,Female
Squirrel,Male
Mole,Male
Mole,Male
Mole,Male
Mole,Male
Weasel,Male
Weasel,Male
Weasel,Male
Weasel,Male
Ferret,Male
Hedgehog,Male
Hedgehog,Supernatural
Hedgehog,Supernatural
Cat,Male
Cat,Male
Cat,Male
Cat,Male
Cat,Male
Cat,Male
Cat,Male
Cat,Male
Cat,Male
Cat,Male
Cat,Male
Cat,Female
Cat,Supernatural
Cat,Male
Rat,Male
Rat,Male
Rat,Male
Rat,Male
Rat,Male
Rat,Male
Rat,Male
Rat,Female
Rat,Male
Rat,Male
Rat,Male
Rat,Male
Rat,Supernatural
Mouse,Male
Mouse,Male
Mouse,Male
Mouse,Male
Mouse,Male
Mouse,Male
Mouse,Male
Mouse,Male
Mouse,Male
Elephant,Male
Elephant,Male
Elephant,Male
Elephant,Male
Elephant,Male
Camel,Female
Camel,Male
Camel,Male
Camel,Male
Lion,Male
Lion,Male
Lion,Male
Lion,Male
Lion,Male
Lion,Male
Lion,Male
Lion,Male
Lion,Female
Lion,Male
Lion,Male
Lion,Male
Lion,Male
Lion,Male
Lion,Male
Lion,Male
Lion,Male
Lioness,Male
Lioness,Female
Tiger,Male
Tiger,Female
Tiger,Male
Tiger,Male
Tiger,Male
Tiger,Male
Tiger,Male
Tiger,Male
Tiger,Male
"Leopard, Libbard, Pard",Male
"Leopard, Libbard, Pard",Male
"Leopard, Libbard, Pard",Male
"Leopard, Libbard, Pard",Male
Panther,Male
Panther,Male
Panther,Male
Hyena,Female
Rhinoceros,Male
Unicorn,Male
Unicorn,Male
Unicorn,Male
Bear,Male
Bear,Male
Bear,Male
Bear,Male
Bear,Male
Bear,Male
Bear,Male
Bear,Male
Bear,Male
Bear,Male
Bear,Male
Bear,Male
Bear,Male
Bear,Male
Bear,Female
Bear,Male
Wolf,Male
Wolf,Male
Wolf,Male
Wolf,Male
Wolf,Male
Wolf,Male
Wolf,Male
Wolf,Male
Wolf,Male
Wolf,Male
Porcupine,Male
Porcupine,Supernatural
Monkey,Male
Monkey,Female
Monkey,Male
Monkey,Male
Monkey,Male
Monkey,Female
Ape,Male
Ape,Female
Ape,Female
Ape,Male
Ape,Male
Ape,Male
Ape,Female
Ape,Male
Ape,Male
Ape,Male
Ape,Male
Baboon,Male
Baboon,Male
Baboon,Supernatural
Marmozet,Male
"Polecat, Muskcat, Fitchew",Male
"Polecat, Muskcat, Fitchew",Male
"Polecat, Muskcat, Fitchew",Male
Fish,Male
Trout,Female
Cod,Male
Herring,Male
Herring,Male
Herring,Male
Herring,Male
Pilchard,Male
Poor John,Male
Poor John,Male
Eel,Male
Eel,Male
Eel,Male
Eel,Male
Eel,Male
Gudgeon,Male
Carp,Male
Oyster,Male
Oyster,Male
Oyster,Male
Oyster,Male
Oyster,Male
Crab,Male
Shrimp,Male
Mussel,Male
Mussel,Male
Cockle,Male
Cockle,Male
Barnacle,Male
Whale,Male
Whale,Male
Whale,Male
Whale,Male
Whale,Male
Whale,Male
Shark,Supernatural
Porpus,Male
Minnow,Male
Crocodile,Male
Crocodile,Male
Crocodile,Male
Crocodile,Male
Crocodile,Male
Crocodile,Male
Tortoise,Male
Tortoise,Male
Alligator,Male
Cameleon,Male
Cameleon,Male
Cameleon,Male
Cameleon,Male
Cameleon,Male
Lizard,Supernatural
"Bat,Raremouse",Male
"Bat,Raremouse",Female
"Bat,Raremouse",Male
"Bat,Raremouse",Supernatural
Toad,Male
Toad,Male
Toad,Male
Toad,Female
Toad,Female
Toad,Male
Toad,Supernatural
Paddock,Male
Frog,Male
Frog,Supernatural
Serpent,Male
Serpent,Male
Serpent,Male
Serpent,Male
Serpent,Female
Serpent,Female
Serpent,Male
Serpent,Female
Serpent,Male
Serpent,Supernatural
Serpent,Male
Serpent,Female
Adder,Male
Adder,Female
Adder,Male
Adder,Male
Adder,Male
Adder,Male
Adder,Supernatural
Snake,Male
Snake,Supernatural
Snake,Female
Snake,Male
Snake,Male
Snake,Male
Snake,Supernatural
Scorpion,Male
Scorpion,Male
Viper,Male
Viper,Male
Newt,Male
Blind-Worm,Supernatural
Worm,Supernatural
Worm,Female
Worm,Male
Worm,Male
Worm,Male
Worm,Male
Worm,Male
Worm,Male
Worm,Male
Worm,Male
Worm,Male
Worm,Male
Asp,Female
Asp,Male
Asp,Female
Asp,Male
Asp,Male
Snail,Male
Snail,Supernatural
Snail,Female
Snail,Supernatural
Snail,Male
Snail,Male
Snail,Female
Snail,Male
Snail,Female
Snail,Male
Snail,Female
Snail,Male
Snail,Male
Snail,Male
Snail,Male
Slug,Female
Slug,Male
Bee,Male
Bee,Supernatural
Bee,Male
Bee,Female
Bee,Female
Humble Bee,Female
Humble Bee,Male
Humble Bee,Male
Humble Bee,Male
Humble Bee,Male
Drone,Male
Drone,Male
Drone,Male
Wasp,Male
Wasp,Male
Wasp,Female
Wasp,Male
Ant,Male
Butterfly,Female
Butterfly,Male
Butterfly,Male
Butterfly,Male
Butterfly,Male
Butterfly,Male
Moth,Female
Moth,Male
Moth,Male
Grasshopper,Male
Glow-Worm,Male
Glow-Worm,Female
Glow-Worm,Supernatural
Glow-Worm,Male
Spider,Male
Spider,Supernatural
Spider,Male
Spider,Male
Spider,Male
Spider,Male
Gnat,Male
Gnat,Male
Gnat,Male
Gnat,Female
Gnat,Male
Gnat,Male
Gnat,Female
Cricket,Male
Cricket,Male
Cricket,Male
Cricket,Male
Cricket,Male
Cricket,Female
Beetle,Male
Beetle,Supernatural
Beetle,Male
Beetle,Male
Beetle,Male
Fly,Female
Fly,Male
Fly,Male
Fly,Male
Fly,Female
Fly,Male
Fly,Male
Fly,Male
Fly,Male
Fly,Male
Fly,Male
Fly,Male
Fly,Female
Fly,Male
Fly,Female
Flea,Female
Flea,Male
"Caterpillar, Canker",Male
"Caterpillar, Canker",Male
"Caterpillar, Canker",Female
"Caterpillar, Canker",Male
Grub,Male
Grub,Male
